Summary|概览
Platform|平台
Id|ID
Name|名称
Introduction|介绍
Current Version|当前版本
Version|版本
Site|网站
Id|ID
Name|名称
Introduction|介绍
Platform|平台
Last Update Time|最后更新时间
Version|版本
Catalog|目录
Id|ID
Name|名称
Seller Id|卖方身份证
Site|网站
Version|版本
Level One Category|一级类别
Id|ID
Catalog|目录
Name|名称
Version|版本
Level Two Category|水平两个类别
Id|ID
Parent Category|父类别
Name|名称
Version|版本
Level N Category|N级类别
Id|ID
Parent Category|父类别
Name|名称
Version|版本
Brand|品牌
Id|ID
Brand Name|品牌名称
Logo|就
Remark|备注
Version|版本
Product|产品
Id|ID
Name|名称
Parent Category|父类别
Brand|品牌
Origin|起源
Catalog|目录
Remark|备注
Last Update Time|最后更新时间
Version|版本
Product Recommendation|产品推荐
Id|ID
Name|名称
Brand|品牌
Origin|起源
Product|产品
Remark|备注
Last Update Time|最后更新时间
Version|版本
Sku|sku
Id|ID
Name|名称
Size|大小
Product|产品
Active|活跃的
Base Price|底价
Last Update Time|最后更新时间
Version|版本
Profile|配置文件
Id|ID
Name|名称
Age|年龄
Gender|性别
Last Update Time|最后更新时间
Platform|平台
Version|版本
Shipping Address|送货地址
Id|ID
Name|名称
Line1|Line1
Line2|么
City|城市
State|状态
Zip Code|邮政编码
Version|版本
Payment Method|支付方式
Id|ID
Name|名称
Number|数量
Line1|Line1
Line2|么
City|城市
Expire On|在到期
Version|版本
User Order|用户订单
Id|ID
Title|标题
Total Adjustment|总调整
Total Amount|总金额
User|用户
Platform|平台
Last Update Time|最后更新时间
Version|版本
Line Item|行项目
Id|ID
Name|名称
Quantity|数量
Price|价格
Discount Price|折扣价格
User Order|用户订单
Version|版本
Order Promotion|秩序促进
Id|ID
Name|名称
Amount|金额
Thread Hold|线程持有
Type|类型
User Order|用户订单
Version|版本
Manual Adjustment|手动调整
Id|ID
Name|名称
Amount|金额
Thread Hold|线程持有
Type|类型
User Order|用户订单
Version|版本
Shipping Group|航运集团
Id|ID
Name|名称
Line1|Line1
Line2|么
City|城市
State|状态
Zip Code|邮政编码
Country|国家
User Order|用户订单
Version|版本
Payment Group|付款组
Id|ID
Name|名称
Amount|金额
User Order|用户订单
Status|状态
Version|版本
User Domain|用户域
Id|ID
Name|名称
Version|版本
User White List|用户白名单
Id|ID
User Identity|用户身份
User Special Functions|用户特殊功能
Domain|域
Version|版本
Sec User|安全用户
Id|ID
Login|登录
Mobile|手机号码
Email|电子邮件
Pwd|密码
Verification Code|验证码
Verification Code Expire|验证码过期
Last Login Time|最后登录时间
Domain|域
Blocking|屏蔽
Block|屏蔽
Current Status|当前状态
Version|版本
Sec User Blocking|用户屏蔽
Id|ID
Who|谁
Block Time|块时间
Comments|评论
Version|版本
User App|用户应用程序
Id|ID
Title|标题
Sec User|安全用户
App Icon|应用程序图标
Full Access|完全访问
Permission|许可
Object Type|访问对象类型
Object Id|对象ID
Location|位置
Version|版本
List Access|访问列表
Id|ID
Name|名称
Internal Name|内部名称
Read Permission|读权限
Create Permission|创建权限
Delete Permission|删除权限
Update Permission|更新许可
Execution Permission|执行权限
App|应用程序
Version|版本
Object Access|对象访问
Id|ID
Name|名称
Object Type|访问对象类型
List1|列表1
List2|列表2
List3|列表3
List4|列表4
List5|列表5
List6|列表6
List7|列表7
List8|列表8
List9|列表9
App|应用程序
Version|版本
Login History|登录历史
Id|ID
Login Time|登录时间
From Ip|来自IP
Description|描述
Sec User|安全用户
Version|版本
Generic Form|通用的形式
Id|ID
Title|标题
Description|描述
Version|版本
Form Message|表单信息
Id|ID
Title|标题
Form|形式
Level|水平
Version|版本
Form Field Message|表单字段的信息
Id|ID
Title|标题
Parameter Name|参数名称
Form|形式
Level|水平
Version|版本
Form Field|表单字段
Id|ID
Label|标签
Locale Key|语言环境的关键
Parameter Name|参数名称
Type|类型
Form|形式
Placeholder|占位符
Default Value|默认值
Description|描述
Field Group|字段组
Minimum Value|最小值
Maximum Value|最大值
Required|要求
Disabled|禁用
Custom Rendering|自定义渲染
Candidate Values|候选人的价值观
Suggest Values|建议值
Version|版本
Form Action|表单动作
Id|ID
Label|标签
Locale Key|语言环境的关键
Action Key|行动的关键
Level|水平
Url|url
Form|形式
Version|版本
Transfer to Another Platform|转到另一个平台
Transfer to Another Site|转移到其他地点
Transfer to Another Catalog|转移到另一个目录
Transfer to Another Level One Category|将一个类别转移到另一个级别
Transfer to Another Level Two Category|转到另一个二级类别
Transfer to Another Level N Category|转移到另一个级别N类别
Transfer to Another Brand|转移到另一个品牌
Transfer to Another Product|转移到另一个产品
Transfer to Another Product Recommendation|转到另一个产品推荐
Transfer to Another Sku|转移到另一个Sku
Transfer to Another Profile|转移到另一个配置文件
Transfer to Another Shipping Address|转移到另一个送货地址
Transfer to Another Payment Method|转移到另一种支付方式
Transfer to Another User Order|转移到另一个用户订单
Transfer to Another Line Item|转移到另一个行项
Transfer to Another Order Promotion|转移到另一个订单促销
Transfer to Another Manual Adjustment|转移到另一个手动调整
Transfer to Another Shipping Group|转到另一个航运集团
Transfer to Another Payment Group|转移到另一个支付组
Transfer to Another User Domain|转移到另一个用户域
Transfer to Another User White List|转移到另一个用户白名单
Transfer to Another Sec User|转移到另一个SEC用户
Transfer to Another Sec User Blocking|转移到另一个SEC用户阻塞
Transfer to Another User App|转移到另一个用户应用程序
Transfer to Another List Access|转移到另一个列表访问
Transfer to Another Object Access|转移到另一个对象访问
Transfer to Another Login History|转移到另一个登录历史
Transfer to Another Generic Form|转移到另一个通用表单
Transfer to Another Form Message|转到另一个表单消息
Transfer to Another Form Field Message|转到另一个表单字段消息
